atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
9.02778e-05 1.94795e-05 9.65736e-05 5.60823e-05 2.03551e-05 3.00567e-06 1.17322e-05 1.84791e-05 1.22932e+00
6.94444e-06 1.30296e-06 8.17109e-05 8.29348e-07 1.56617e-06 3.22079e-06 1.55393e-06 2.30062e-05 -1.03797e+00
2.54630e-05 4.74421e-06 7.01824e-05 1.21215e-05 5.74363e-06 2.83420e-06 5.75587e-06 2.09638e-05 3.21296e-01
4.62963e-04 1.02253e-04 6.05866e-05 1.86298e-04 1.04452e-04 2.52404e-06 2.97971e-05 1.28820e-05 -2.03046e-01
2.08333e-05 3.78487e-06 5.54965e-05 1.17597e-04 4.70132e-06 3.07020e-06 4.70132e-06 2.33626e-05 1.17776e+00
1.62037e-05 2.95492e-06 5.85547e-05 3.39912e-05 3.65735e-06 3.30247e-06 3.65735e-06 2.37513e-05 -2.46938e-01
9.25926e-05 1.73952e-05 6.00485e-05 5.79812e-05 2.09035e-05 3.10598e-06 1.90828e-05 1.67962e-05 -6.95337e-01
8.10185e-05 1.59216e-05 5.83216e-05 4.92802e-05 1.82945e-05 3.08385e-06 1.33156e-05 1.64987e-05 -1.60848e+00
1.85185e-05 3.36859e-06 5.55485e-05 8.34600e-06 4.18245e-06 2.62825e-06 4.29221e-06 2.24619e-05 1.89820e+00
3.70370e-05 6.68802e-06 5.22578e-05 1.94162e-05 8.36665e-06 2.55505e-06 8.36558e-06 1.87478e-05 1.06682e+00
1.82870e-04 3.76806e-05 4.82385e-05 1.20432e-04 4.13189e-05 2.37478e-06 1.97906e-05 1.17987e-05 -1.33144e-01
4.53704e-04 1.02121e-04 4.54436e-05 1.56811e-04 1.02534e-04 2.47270e-06 9.38226e-06 1.88986e-05 4.43079e-01
4.62963e-05 8.28726e-06 4.76169e-05 1.63348e-04 1.04648e-05 2.44163e-06 1.04390e-05 1.60258e-05 6.07249e-01
3.14815e-04 7.15426e-05 6.11562e-05 2.37993e-04 7.11753e-05 2.90943e-06 8.52447e-06 2.38396e-05 -1.06109e+00
1.38889e-05 2.61140e-06 7.94481e-05 3.87471e-05 3.14073e-06 2.58445e-06 3.14073e-06 1.79246e-05 -1.13002e+00
8.33333e-05 1.66127e-05 8.34312e-05 5.49515e-05 1.88482e-05 2.80500e-06 1.53568e-05 1.64896e-05 -1.99397e+00
0.00000e+00 0.00000e+00 7.95364e-05 -1.64682e-06 0.00000e+00 2.53450e-06 0.00000e+00 2.42074e-05 2.99033e+00
1.62037e-05 3.01778e-06 7.26972e-05 7.00556e-06 3.66644e-06 2.55275e-06 3.66644e-06 2.11797e-05 2.15710e+00
4.39815e-05 8.37974e-06 6.42444e-05 2.38901e-05 9.95378e-06 3.10350e-06 6.06285e-06 2.48537e-05 5.75703e-01
8.12500e-04 1.87622e-04 5.77228e-05 4.56564e-04 1.83920e-04 1.50612e-06 1.83304e-05 1.20035e-05 7.25285e-01
