Date-Time wind dlwrf dswrf tas shum pres ppt
01/12/1998-15 1.2635010 427.8267 515.34640 305.2294 0.02753695 100606.7 0.0000000
01/12/1998-18 1.1740390 423.3230 393.59220 305.7370 0.02702763 100531.9 0.0000000
01/12/1998-21 0.8091906 424.2068 145.89930 301.3205 0.02071368 100589.9 2.3933510
01/13/1998-00 0.6717454 422.5118 0.00000 297.3538 0.01686431 100653.8 0.5681188
01/13/1998-03 0.7617033 422.7600 0.00000 295.9907 0.01592618 100724.5 0.0000000
01/13/1998-06 0.7985267 418.8243 0.00000 295.8253 0.01608816 100815.6 0.0000000
01/13/1998-09 0.7822155 418.6201 19.67707 296.8576 0.01714045 100927.0 0.0000000
01/13/1998-12 0.9546269 426.9294 371.17750 300.7633 0.02128853 100876.6 0.0000000
01/13/1998-15 1.3157610 425.6423 677.08390 307.5423 0.03026981 100664.2 0.0000000
01/13/1998-18 1.3229340 437.8256 460.78690 308.6589 0.03006831 100566.2 0.0000000
01/13/1998-21 0.9761474 438.7252 135.20340 304.1131 0.02324776 100582.7 0.0000000
01/14/1998-00 0.7356464 432.5449 0.00000 299.9331 0.01960613 100580.6 0.0000000
01/14/1998-03 0.6014313 432.9118 0.00000 297.9178 0.01822937 100560.4 0.0000000
01/14/1998-06 0.5060418 423.7986 0.00000 297.8001 0.01853108 100624.1 0.0000000
01/14/1998-09 0.4494777 423.4344 24.30526 299.5802 0.02081376 100771.5 0.0000000
01/14/1998-12 0.4396151 439.8198 330.24290 302.3617 0.02449549 100708.5 0.0000000
01/14/1998-15 0.4764539 439.0518 589.70090 306.1447 0.03053845 100435.0 0.0000000
01/14/1998-18 0.4553835 444.9564 369.99010 306.0897 0.03045964 100366.0 0.0000000
01/14/1998-21 0.3764040 445.7623 86.22684 302.1966 0.02408028 100501.4 0.0000000
01/15/1998-00 0.4698718 428.7961 0.00000 300.1721 0.02100300 100577.4 0.0000000
01/15/1998-03 0.7357870 429.0771 0.00000 298.7299 0.01947314 100593.6 0.0000000
01/15/1998-06 0.7914360 423.8398 0.00000 298.3243 0.01971112 100637.3 0.0000000
01/15/1998-09 0.6368186 423.6993 23.71521 298.9554 0.02083749 100708.4 0.0000000
01/15/1998-12 0.6583481 429.4290 344.31610 301.1634 0.02379429 100653.5 1.1604130
01/15/1998-15 0.8560241 428.6670 618.36900 304.9482 0.02953308 100472.5 1.4384280
01/15/1998-18 0.9483490 437.9173 392.53850 304.9729 0.02917392 100445.2 1.4384280
01/15/1998-21 0.9353226 438.6846 94.77036 301.2375 0.02333206 100571.6 0.0000000
01/16/1998-00 0.8720905 422.9878 0.00000 299.3023 0.02088974 100660.9 0.0000000
01/16/1998-03 0.7586524 423.3081 0.00000 297.7412 0.01891190 100712.6 0.0000000
01/16/1998-06 0.7439826 423.4069 0.00000 297.3180 0.01814081 100749.0 0.0000000
01/16/1998-09 0.8280810 423.2583 21.84798 298.0324 0.01898752 100770.1 0.0000000
01/16/1998-12 0.9711912 426.4694 378.48050 300.4584 0.02242731 100709.2 0.0000000
01/16/1998-15 1.1733130 425.6508 688.25100 304.5958 0.02856657 100566.1 0.0000000
01/16/1998-18 1.1291450 441.1646 428.80520 305.1208 0.02874993 100540.6 0.0000000
01/16/1998-21 0.8386860 441.8065 97.18668 302.0335 0.02382024 100632.7 0.0000000
01/17/1998-00 0.7091782 425.4404 0.00000 299.7605 0.02099840 100700.2 0.2780156
01/17/1998-03 0.7406217 425.7762 0.00000 298.0712 0.01914584 100743.0 1.5593050
01/17/1998-06 0.7789986 421.0285 0.00000 297.5116 0.01867965 100791.2 0.0000000
